Timestamp,CPU Usage (%)
2024-09-22 22:17:15.356,0.0
2024-09-22 22:17:15.857,4.0
2024-09-22 22:17:16.359,4.0
2024-09-22 22:17:16.860,1.0
2024-09-22 22:17:17.360,2.0
2024-09-22 22:17:17.861,1.0
2024-09-22 22:17:18.362,1.0
2024-09-22 22:17:18.863,5.8
2024-09-22 22:17:19.364,1.0
2024-09-22 22:17:19.865,6.1
2024-09-22 22:17:20.366,5.0
2024-09-22 22:17:20.867,5.1
2024-09-22 22:17:21.367,22.2
2024-09-22 22:17:21.869,27.1
2024-09-22 22:17:22.369,19.8
2024-09-22 22:17:22.869,59.6
2024-09-22 22:17:23.370,25.0
2024-09-22 22:17:23.871,28.9
2024-09-22 22:17:24.372,71.7
2024-09-22 22:17:24.872,46.0
2024-09-22 22:17:25.374,43.2
2024-09-22 22:17:25.875,47.1
2024-09-22 22:17:26.375,42.5
2024-09-22 22:17:26.876,63.3
2024-09-22 22:17:27.378,63.0
2024-09-22 22:17:27.880,54.0
2024-09-22 22:17:28.381,54.0
2024-09-22 22:17:28.882,57.3
2024-09-22 22:17:29.382,66.7
2024-09-22 22:17:29.883,86.2
2024-09-22 22:17:30.384,78.3
2024-09-22 22:17:30.885,73.9
2024-09-22 22:17:31.387,64.4
2024-09-22 22:17:31.888,66.3
2024-09-22 22:17:32.389,67.8
2024-09-22 22:17:32.890,64.4
2024-09-22 22:17:33.391,61.8
2024-09-22 22:17:33.892,65.5
2024-09-22 22:17:34.394,68.9
2024-09-22 22:17:34.895,68.5
2024-09-22 22:17:35.396,64.4
2024-09-22 22:17:35.897,69.3
2024-09-22 22:17:36.397,64.0
2024-09-22 22:17:36.899,67.8
2024-09-22 22:17:37.403,63.2
2024-09-22 22:17:37.903,68.2
2024-09-22 22:17:38.404,64.4
2024-09-22 22:17:38.905,68.9
2024-09-22 22:17:39.405,66.3
2024-09-22 22:17:39.907,71.9
2024-09-22 22:17:40.409,67.0
2024-09-22 22:17:40.911,71.4
2024-09-22 22:17:41.413,58.4
2024-09-22 22:17:41.915,65.9
2024-09-22 22:17:42.416,61.8
2024-09-22 22:17:42.920,67.4
2024-09-22 22:17:43.420,64.0
2024-09-22 22:17:43.922,64.0
2024-09-22 22:17:44.423,65.1
2024-09-22 22:17:44.923,70.0
2024-09-22 22:17:45.424,66.7
2024-09-22 22:17:45.926,73.3
2024-09-22 22:17:46.427,61.4
2024-09-22 22:17:46.928,68.5
2024-09-22 22:17:47.429,61.4
2024-09-22 22:17:47.930,66.7
2024-09-22 22:17:48.431,64.0
2024-09-22 22:17:48.932,65.5
2024-09-22 22:17:49.432,65.9
2024-09-22 22:17:49.937,71.1
2024-09-22 22:17:50.440,65.6
2024-09-22 22:17:50.941,72.2
2024-09-22 22:17:51.441,62.1
2024-09-22 22:17:51.943,68.2
2024-09-22 22:17:52.443,59.6
2024-09-22 22:17:52.944,67.8
2024-09-22 22:17:53.445,64.8
2024-09-22 22:17:53.946,61.4
2024-09-22 22:17:54.446,65.9
2024-09-22 22:17:54.947,72.2
2024-09-22 22:17:55.448,65.5
2024-09-22 22:17:55.949,66.3
2024-09-22 22:17:56.452,60.7
2024-09-22 22:17:56.952,68.6
2024-09-22 22:17:57.455,62.5
2024-09-22 22:17:57.956,64.4
2024-09-22 22:17:58.457,65.5
2024-09-22 22:17:58.957,61.4
2024-09-22 22:17:59.459,67.4
2024-09-22 22:17:59.960,69.6
2024-09-22 22:18:00.460,64.8
2024-09-22 22:18:00.961,74.2
2024-09-22 22:18:01.462,70.8
2024-09-22 22:18:01.963,71.9
2024-09-22 22:18:02.467,66.7
2024-09-22 22:18:02.968,67.0
2024-09-22 22:18:03.468,63.6
2024-09-22 22:18:03.969,59.8
2024-09-22 22:18:04.470,65.2
2024-09-22 22:18:04.970,68.9
2024-09-22 22:18:05.472,65.9
2024-09-22 22:18:05.972,73.3
2024-09-22 22:18:06.473,61.4
2024-09-22 22:18:06.974,66.3
2024-09-22 22:18:07.477,66.7
2024-09-22 22:18:07.977,66.7
2024-09-22 22:18:08.479,58.6
2024-09-22 22:18:08.980,61.8
2024-09-22 22:18:09.483,66.7
2024-09-22 22:18:09.984,65.2
2024-09-22 22:18:10.485,61.4
2024-09-22 22:18:10.987,69.3
2024-09-22 22:18:11.488,62.5
2024-09-22 22:18:11.990,67.4
2024-09-22 22:18:12.491,62.6
2024-09-22 22:18:12.994,68.5
2024-09-22 22:18:13.494,61.8
2024-09-22 22:18:13.995,64.0
2024-09-22 22:18:14.497,63.2
2024-09-22 22:18:14.997,66.3
